external_gene_name
ENSG00000004487	KDM1A
ENSG00000007923	DNAJC11
ENSG00000008128	CDK11A
ENSG00000008130	NADK
ENSG00000009709	PAX7
ENSG00000009724	MASP2
ENSG00000011021	CLCN6
ENSG00000028137	TNFRSF1B
ENSG00000037637	FBXO42
ENSG00000040487	SLC66A1
ENSG00000041988	THAP3
ENSG00000048707	VPS13D
ENSG00000049239	H6PD
ENSG00000049245	VAMP3
ENSG00000049246	PER3
ENSG00000049247	UTS2
ENSG00000049249	TNFRSF9
ENSG00000053371	AKR7A2
ENSG00000053372	MRTO4
ENSG00000054523	KIF1B
ENSG00000055070	SZRD1
ENSG00000058453	CROCC
ENSG00000065526	SPEN
ENSG00000067606	PRKCZ
ENSG00000069424	KCNAB2
ENSG00000069812	HES2
ENSG00000070831	CDC42
ENSG00000070886	EPHA8
ENSG00000074800	ENO1
ENSG00000074964	ARHGEF10L
ENSG00000075151	EIF4G3
ENSG00000076864	RAP1GAP
ENSG00000077549	CAPZB
ENSG00000078369	GNB1
ENSG00000078808	SDF4
ENSG00000078900	TP73
ENSG00000080947	CROCCP3
ENSG00000083444	PLOD1
ENSG00000090432	MUL1
ENSG00000090686	USP48
ENSG00000097021	ACOT7
ENSG00000107404	DVL1
ENSG00000116138	DNAJC16
ENSG00000116151	MORN1
ENSG00000116198	CEP104
ENSG00000116213	WRAP73
ENSG00000116237	ICMT
ENSG00000116251	RPL22
ENSG00000116254	CHD5
ENSG00000116273	PHF13
ENSG00000116285	ERRFI1
ENSG00000116288	PARK7
ENSG00000116649	SRM
ENSG00000116661	FBXO2
ENSG00000116663	FBXO6
ENSG00000116670	MAD2L2
ENSG00000116685	KIAA2013
ENSG00000116688	MFN2
ENSG00000116691	MIIP
ENSG00000116731	PRDM2
ENSG00000116771	AGMAT
ENSG00000116786	PLEKHM2
ENSG00000116809	ZBTB17
ENSG00000117115	PADI2
ENSG00000117118	SDHB
ENSG00000117122	MFAP2
ENSG00000117148	ACTL8
ENSG00000117154	IGSF21
ENSG00000117215	PLA2G2D
ENSG00000117242	PINK1-AS
ENSG00000117245	KIF17
ENSG00000117298	ECE1
ENSG00000120937	NPPB
ENSG00000120942	UBIAD1
ENSG00000120948	TARDBP
ENSG00000120949	TNFRSF8
ENSG00000127054	INTS11
ENSG00000127463	EMC1
ENSG00000127472	PLA2G5
ENSG00000127481	UBR4
ENSG00000127483	HP1BP3
ENSG00000130762	ARHGEF16
ENSG00000130764	LRRC47
ENSG00000130939	UBE4B
ENSG00000130940	CASZ1
ENSG00000131584	ACAP3
ENSG00000131591	C1orf159
ENSG00000131686	CA6
ENSG00000131697	NPHP4
ENSG00000132879	FBXO44
ENSG00000132881	CPLANE2
ENSG00000132906	CASP9
ENSG00000133216	EPHB2
ENSG00000142583	SLC2A5
ENSG00000142599	RERE
ENSG00000142606	MMEL1
ENSG00000142609	CFAP74
ENSG00000142611	PRDM16
ENSG00000142615	CELA2A
ENSG00000142619	PADI3
ENSG00000142621	FHAD1
ENSG00000142623	PADI1
ENSG00000142627	EPHA2
ENSG00000142632	ARHGEF19
ENSG00000142634	EFHD2
ENSG00000142655	PEX14
ENSG00000142657	PGD
ENSG00000142789	CELA3A
ENSG00000142794	NBPF3
ENSG00000142798	HSPG2
ENSG00000157191	NECAP2
ENSG00000157330	C1orf158
ENSG00000157870	PRXL2B
ENSG00000157881	PANK4
ENSG00000157911	PEX10
ENSG00000157916	RER1
ENSG00000157933	SKI
ENSG00000158109	TPRG1L
ENSG00000158286	RNF207
ENSG00000158292	GPR153
ENSG00000158747	NBL1
ENSG00000158748	HTR6
ENSG00000158786	PLA2G2F
ENSG00000158816	VWA5B1
ENSG00000158825	CDA
ENSG00000158828	PINK1
ENSG00000159339	PADI4
ENSG00000159363	ATP13A2
ENSG00000159423	ALDH4A1
ENSG00000160049	DFFA
ENSG00000160072	ATAD3B
ENSG00000160075	SSU72
ENSG00000160087	UBE2J2
ENSG00000162408	NOL9
ENSG00000162413	KLHL21
ENSG00000162426	SLC45A1
ENSG00000162441	LZIC
ENSG00000162444	RBP7
ENSG00000162458	FBLIM1
ENSG00000162460	TMEM82
ENSG00000162461	SLC25A34
ENSG00000162482	AKR7A3
ENSG00000162490	DRAXIN
ENSG00000162493	PDPN
ENSG00000162494	LRRC38
ENSG00000162496	DHRS3
ENSG00000162542	TMCO4
ENSG00000162543	UBXN10
ENSG00000162545	CAMK2N1
ENSG00000162551	ALPL
ENSG00000162552	WNT4
ENSG00000162571	TTLL10
ENSG00000162572	SCNN1D
ENSG00000162576	MXRA8
ENSG00000162585	FAAP20
ENSG00000162591	MEGF6
ENSG00000162592	CCDC27
ENSG00000169598	DFFB
ENSG00000169717	ACTRT2
ENSG00000169885	CALML6
ENSG00000169914	OTUD3
ENSG00000169962	TAS1R3
ENSG00000169972	PUSL1
ENSG00000169991	IFFO2
ENSG00000171603	CLSTN1
ENSG00000171608	PIK3CD
ENSG00000171612	SLC25A33
ENSG00000171621	SPSB1
ENSG00000171680	PLEKHG5
ENSG00000171729	TMEM51
ENSG00000171735	CAMTA1
ENSG00000171824	EXOSC10
ENSG00000173436	MICOS10
ENSG00000173614	NMNAT1
ENSG00000173641	HSPB7
ENSG00000173662	TAS1R1
ENSG00000175147	TMEM51-AS1
ENSG00000175206	NPPA
ENSG00000175262	C1orf127
ENSG00000175279	CENPS
ENSG00000175756	AURKAIP1
ENSG00000176022	B3GALT6
ENSG00000177000	MTHFR
ENSG00000177553	C1orf167-AS1
ENSG00000177674	AGTRAP
ENSG00000178585	CTNNBIP1
ENSG00000178715	AL450998.1
ENSG00000178821	TMEM52
ENSG00000179023	KLHDC7A
ENSG00000179051	RCC2
ENSG00000179403	VWA1
ENSG00000179743	AL450998.2
ENSG00000179840	PIK3CD-AS1
ENSG00000180758	GPR157
ENSG00000182873	PRKCZ-AS1
ENSG00000183114	FAM43B
ENSG00000184163	C1QTNF12
ENSG00000184677	ZBTB40
ENSG00000184908	CLCNKB
ENSG00000185519	FAM131C
ENSG00000186301	MST1P2
ENSG00000186510	CLCNKA
ENSG00000186715	MST1L
ENSG00000186891	TNFRSF18
ENSG00000187017	ESPN
ENSG00000187144	SPATA21
ENSG00000187583	PLEKHN1
ENSG00000187608	ISG15
ENSG00000187634	SAMD11
ENSG00000187642	PERM1
ENSG00000187730	GABRD
ENSG00000187942	LDLRAD2
ENSG00000187961	KLHL17
ENSG00000188157	AGRN
ENSG00000188257	PLA2G2A
ENSG00000188290	HES4
ENSG00000188807	TMEM201
ENSG00000188976	NOC2L
ENSG00000188984	AADACL3
ENSG00000189337	KAZN
ENSG00000189339	SLC35E2B
ENSG00000189409	MMP23B
ENSG00000189410	SH2D5
ENSG00000196581	AJAP1
ENSG00000197241	SLC2A7
ENSG00000197312	DDI2
ENSG00000197530	MIB2
ENSG00000197785	ATAD3A
ENSG00000197921	HES5
ENSG00000198744	MTCO3P12
ENSG00000198793	MTOR
ENSG00000198912	C1orf174
ENSG00000199347	RNU5E-1
ENSG00000199562	RNU6-37P
ENSG00000200344	AL034417.1
ENSG00000200403	RNU6-1099P
ENSG00000200975	RNU1-7P
ENSG00000201135	RNU6-777P
ENSG00000201746	RNU6-828P
ENSG00000201801	RNU5E-4P
ENSG00000202415	RN7SKP269
ENSG00000202461	AL096840.1
ENSG00000203469	AL354956.1
ENSG00000204464	C1orf195
ENSG00000204478	PRAMEF20
ENSG00000204624	DISP3
ENSG00000204859	ZBTB48
ENSG00000205090	TMEM240
ENSG00000206652	RNU1-1
ENSG00000207056	RNU1-8P
ENSG00000207730	MIR200B
ENSG00000207776	MIR551A
ENSG00000211454	AKR7L
ENSG00000215014	AL645728.1
ENSG00000215695	RSC1A1
ENSG00000215704	CELA2B
ENSG00000215788	TNFRSF25
ENSG00000215790	SLC35E2A
ENSG00000215908	CROCCP2
ENSG00000215909	BRWD1P1
ENSG00000215910	C1orf167
ENSG00000215912	TTC34
ENSG00000215914	MMP23A
ENSG00000215915	ATAD3C
ENSG00000217801	AL390719.1
ENSG00000219073	CELA3B
ENSG00000219481	NBPF1
ENSG00000221083	AL096855.1
ENSG00000221340	RNU6ATAC18P
ENSG00000221662	MIR1290
ENSG00000221808	MIR1256
ENSG00000221978	CCNL2
ENSG00000222511	AL357552.1
ENSG00000223663	NDUFB4P8
ENSG00000223764	LINC02593
ENSG00000223989	AL357140.1
ENSG00000224051	CPTP
ENSG00000224174	AL137802.1
ENSG00000224315	RPL7P7
ENSG00000224321	RPL12P14
ENSG00000224340	AL590639.1
ENSG00000224459	SLC25A34-AS1
ENSG00000224621	AL451042.1
ENSG00000224870	MRPL20-AS1
ENSG00000224904	SBF1P2
ENSG00000224969	AL645608.1
ENSG00000225077	LINC00337
ENSG00000225285	LINC01770
ENSG00000225387	AL591896.1
ENSG00000225602	MTOR-AS1
ENSG00000225630	MTND2P28
ENSG00000225880	LINC00115
ENSG00000225905	AL391244.1
ENSG00000225972	MTND1P23
ENSG00000225986	UBXN10-AS1
ENSG00000226029	LINC01772
ENSG00000226396	AL031727.1
ENSG00000226457	RPL22P3
ENSG00000226526	AL049569.1
ENSG00000226545	AL357552.2
ENSG00000226849	AL109811.1
